4
16 8
0 0 1
0.3125 0 0.9375
0.9375 0 0.8125
1.875 0 0.625
3.125 0 0.375
4.6875 0 0.3125
6.5625 0 0.4375
8.75 0 0.75
11.25 0 1.25
13.4375 0 1.5625
15.3125 0 1.6875
16.875 0 1.625
18.125 0 1.375
19.0625 0 1.1875
19.6875 0 1.0625
20 0 1
0 2 1
0.3125 2 0.9375
0.9375 2 0.8125
1.875 2 0.625
3.125 2 0.375
4.6875 2 0.3125
6.5625 2 0.4375
8.75 2 0.75
11.25 2 1.25
13.4375 2 1.5625
15.3125 2 1.6875
16.875 2 1.625
18.125 2 1.375
19.0625 2 1.1875
19.6875 2 1.0625
20 2 1
0 4 1
0.3125 4 0.9375
0.9375 4 0.8125
1.875 4 0.625
3.125 4 0.375
4.6875 4 0.3125
6.5625 4 0.4375
8.75 4 0.75
11.25 4 1.25
13.4375 4 1.5625
15.3125 4 1.6875
16.875 4 1.625
18.125 4 1.375
19.0625 4 1.1875
19.6875 4 1.0625
20 4 1
0 6 1
0.3125 6 0.9375
0.9375 6 0.8125
1.875 6 0.625
3.125 6 0.375
4.6875 6 0.3125
6.5625 6 0.4375
8.75 6 0.75
11.25 6 1.25
13.4375 6 1.5625
15.3125 6 1.6875
16.875 6 1.625
18.125 6 1.375
19.0625 6 1.1875
19.6875 6 1.0625
20 6 1
0 8 1
0.3125 8 0.9375
0.9375 8 0.8125
1.875 8 0.625
3.125 8 0.375
4.6875 8 0.3125
6.5625 8 0.4375
8.75 8 0.75
11.25 8 1.25
13.4375 8 1.5625
15.3125 8 1.6875
16.875 8 1.625
18.125 8 1.375
19.0625 8 1.1875
19.6875 8 1.0625
20 8 1
0 10 1
0.3125 10 0.9375
0.9375 10 0.8125
1.875 10 0.625
3.125 10 0.375
4.6875 10 0.3125
6.5625 10 0.4375
8.75 10 0.75
11.25 10 1.25
13.4375 10 1.5625
15.3125 10 1.6875
16.875 10 1.625
18.125 10 1.375
19.0625 10 1.1875
19.6875 10 1.0625
20 10 1
0 12 1
0.3125 12 0.9375
0.9375 12 0.8125
1.875 12 0.625
3.125 12 0.375
4.6875 12 0.3125
6.5625 12 0.4375
8.75 12 0.75
11.25 12 1.25
13.4375 12 1.5625
15.3125 12 1.6875
16.875 12 1.625
18.125 12 1.375
19.0625 12 1.1875
19.6875 12 1.0625
20 12 1
0 14 1
0.3125 14 0.9375
0.9375 14 0.8125
1.875 14 0.625
3.125 14 0.375
4.6875 14 0.3125
6.5625 14 0.4375
8.75 14 0.75
